date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2022-03-01 00:00:00,43177.3,43375.0,43607.0,43169.0,43219.0,43420.0,43654.3,43217.0,3132
2022-03-01 00:15:00,43375.0,43378.9,43402.5,43177.8,43418.0,43419.0,43442.5,43219.0,2919
2022-03-01 00:30:00,43377.9,43527.9,43540.0,43309.4,43418.0,43567.9,43581.0,43349.5,3090
2022-03-01 00:45:00,43527.4,43559.0,43716.0,43327.4,43567.4,43602.0,43759.0,43367.4,2681
2022-03-01 01:00:00,43560.0,43273.0,43622.0,43255.5,43602.0,43316.0,43665.0,43295.5,1932
2022-03-01 01:15:00,43273.0,43272.0,43372.9,43214.0,43314.0,43313.0,43412.9,43254.0,1645
2022-03-01 01:30:00,43273.0,43390.6,43430.0,43260.2,43313.0,43430.6,43473.0,43300.2,1880
2022-03-01 01:45:00,43389.1,43265.5,43409.0,43241.3,43429.1,43305.5,43449.0,43281.3,1755
2022-03-01 02:00:00,43263.1,43083.5,43294.5,43067.9,43303.1,43123.5,43334.5,43107.9,2461
2022-03-01 02:15:00,43084.1,43050.6,43214.1,42965.2,43124.1,43090.6,43256.1,43005.2,2197
2022-03-01 02:30:00,43048.9,43103.0,43115.0,42984.6,43089.0,43143.0,43158.0,43024.6,1345
2022-03-01 02:45:00,43103.5,43150.9,43167.0,43059.3,43143.5,43191.0,43207.0,43099.3,1036
2022-03-01 03:00:00,43150.5,42942.1,43152.6,42937.2,43190.6,42982.1,43192.6,42977.2,1167
2022-03-01 03:15:00,42941.4,43042.5,43055.0,42850.5,42981.4,43082.5,43098.0,42890.5,1757
2022-03-01 03:30:00,43042.0,43059.0,43074.0,42966.0,43082.0,43101.0,43117.0,43006.0,1076
2022-03-01 03:45:00,43058.0,43136.3,43172.0,43048.0,43101.0,43176.3,43217.0,43088.0,1209
2022-03-01 04:00:00,43136.8,43268.0,43272.0,43065.7,43176.8,43308.0,43313.0,43106.0,1341
2022-03-01 04:15:00,43267.5,43222.5,43267.5,43108.9,43307.5,43262.5,43307.5,43148.9,1697
2022-03-01 04:30:00,43223.5,43236.8,43292.0,43177.9,43263.5,43278.0,43335.0,43217.9,1148
2022-03-01 04:45:00,43236.8,43361.6,43409.3,43234.4,43279.0,43401.6,43449.3,43274.4,1333
2022-03-01 05:00:00,43362.9,43284.0,43418.2,43243.3,43402.9,43326.0,43458.2,43283.3,1402
2022-03-01 05:15:00,43285.0,43226.0,43286.0,43171.5,43327.0,43269.0,43327.0,43213.0,1183
2022-03-01 05:30:00,43225.0,43166.0,43241.7,43153.1,43268.0,43207.0,43282.9,43195.0,1380
2022-03-01 05:45:00,43168.0,43205.9,43251.0,43139.0,43208.9,43245.9,43294.0,43182.0,923
2022-03-01 06:00:00,43204.3,43150.0,43207.4,43033.4,43245.7,43193.0,43247.4,43073.4,1592
2022-03-01 06:15:00,43151.0,43326.0,43354.0,43151.0,43193.0,43369.0,43395.8,43192.0,1822
2022-03-01 06:30:00,43329.5,43261.0,43427.0,43236.3,43369.5,43301.0,43469.0,43276.3,1511
2022-03-01 06:45:00,43261.0,43449.0,43469.3,43260.5,43303.0,43491.0,43512.0,43300.5,1291
2022-03-01 07:00:00,43449.0,43531.0,43543.0,43432.2,43491.1,43574.0,43584.0,43472.2,1423
2022-03-01 07:15:00,43532.0,43412.0,43533.0,43347.6,43574.0,43452.0,43575.0,43387.6,1573
2022-03-01 07:30:00,43409.1,43302.1,43458.1,43292.5,43452.1,43344.9,43501.1,43332.5,1251
2022-03-01 07:45:00,43301.0,43485.5,43498.4,43297.0,43344.0,43525.5,43538.5,43338.0,1553
2022-03-01 08:00:00,43486.0,43471.0,43531.0,43433.5,43526.0,43511.0,43573.0,43473.5,2144
