date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
2020-12-01 00:00:00,1.19368,1.19427,1.19452,1.19348,1.1938,1.19439,1.19463,1.1936,3486
2020-12-01 01:00:00,1.19427,1.19488,1.19496,1.19402,1.19439,1.195,1.19508,1.19414,4933
2020-12-01 02:00:00,1.19488,1.19555,1.19573,1.19475,1.195,1.19566,1.19583,1.19485,5026
2020-12-01 03:00:00,1.19555,1.1957,1.1959,1.19555,1.19566,1.19583,1.19602,1.19565,4123
2020-12-01 04:00:00,1.1957,1.1957,1.19593,1.19553,1.19583,1.19581,1.19607,1.19567,2846
2020-12-01 05:00:00,1.1957,1.19565,1.19589,1.19547,1.19581,1.19576,1.196,1.19558,2932
2020-12-01 06:00:00,1.19565,1.19567,1.19585,1.19541,1.19576,1.19577,1.19596,1.19554,3686
2020-12-01 07:00:00,1.19567,1.19681,1.19724,1.19534,1.19577,1.19693,1.19736,1.19547,9320
2020-12-01 08:00:00,1.19681,1.19795,1.1985,1.19627,1.19693,1.19807,1.19863,1.19637,14011
2020-12-01 09:00:00,1.19795,1.19801,1.1982,1.19711,1.19807,1.19813,1.19834,1.19724,15404
2020-12-01 10:00:00,1.19801,1.1968,1.19813,1.19652,1.19813,1.19693,1.19824,1.19663,9954
2020-12-01 11:00:00,1.1968,1.19694,1.19703,1.19596,1.19693,1.19706,1.19714,1.19609,12324
2020-12-01 12:00:00,1.19694,1.19666,1.19721,1.19637,1.19706,1.19678,1.19733,1.19649,9814
2020-12-01 13:00:00,1.19666,1.19917,1.19933,1.19649,1.19678,1.1993,1.19945,1.19661,12716
2020-12-01 14:00:00,1.19917,1.19938,1.20001,1.19745,1.1993,1.19955,1.20013,1.19758,16678
2020-12-01 15:00:00,1.19938,1.20307,1.20413,1.19833,1.19955,1.2032,1.20425,1.19845,34282
2020-12-01 16:00:00,1.20307,1.20371,1.2054,1.20306,1.2032,1.20385,1.20551,1.2032,26436
2020-12-01 17:00:00,1.20371,1.20446,1.20514,1.20369,1.20385,1.20458,1.20522,1.2038,12269
2020-12-01 18:00:00,1.20446,1.2043,1.20518,1.20425,1.20458,1.20442,1.20528,1.20436,7254
2020-12-01 19:00:00,1.2043,1.20472,1.20504,1.20422,1.20442,1.20485,1.20515,1.20433,6986
2020-12-01 20:00:00,1.20472,1.20713,1.20748,1.2047,1.20485,1.20723,1.20762,1.20482,9409
2020-12-01 21:00:00,1.20713,1.20668,1.20761,1.20667,1.20723,1.20748,1.20774,1.20678,4641
2020-12-01 22:00:00,1.20668,1.20706,1.20736,1.20652,1.20748,1.20739,1.20784,1.20691,1981
2020-12-01 23:00:00,1.20706,1.20701,1.20726,1.20678,1.20739,1.20713,1.20745,1.20691,3297
2020-12-02 00:00:00,1.20701,1.20661,1.20717,1.20648,1.20713,1.20674,1.2073,1.20658,4297
2020-12-02 01:00:00,1.20661,1.20678,1.20695,1.20601,1.20674,1.2069,1.20706,1.20611,7743
2020-12-02 02:00:00,1.20678,1.2073,1.20791,1.20678,1.2069,1.20741,1.20803,1.20691,6015
2020-12-02 03:00:00,1.2073,1.20817,1.20832,1.2072,1.20741,1.2083,1.20842,1.20732,4930
2020-12-02 04:00:00,1.20817,1.20745,1.20826,1.2074,1.2083,1.20757,1.20838,1.20753,3848
2020-12-02 05:00:00,1.20745,1.20677,1.2075,1.20658,1.20757,1.20689,1.20763,1.20671,5710
2020-12-02 06:00:00,1.20677,1.20644,1.20767,1.20635,1.20689,1.20656,1.20778,1.20646,5221
2020-12-02 07:00:00,1.20644,1.20683,1.2087,1.20644,1.20656,1.20695,1.20883,1.20654,15404
2020-12-02 08:00:00,1.20683,1.20478,1.20759,1.20462,1.20695,1.20489,1.2077,1.20472,25922
2020-12-02 09:00:00,1.20478,1.20528,1.20641,1.2045,1.20489,1.20542,1.20652,1.20461,15658
2020-12-02 10:00:00,1.20528,1.20487,1.20612,1.20455,1.20542,1.205,1.20624,1.20469,11270
2020-12-02 11:00:00,1.20487,1.2051,1.20528,1.20415,1.205,1.20524,1.20539,1.20428,11040
2020-12-02 12:00:00,1.2051,1.20589,1.20623,1.20395,1.20524,1.206,1.20633,1.20406,17160
2020-12-02 13:00:00,1.20589,1.20655,1.2078,1.20574,1.206,1.20666,1.20793,1.20585,20501
2020-12-02 14:00:00,1.20655,1.2082,1.20823,1.20596,1.20666,1.20833,1.20835,1.20608,22961
2020-12-02 15:00:00,1.2082,1.20777,1.21079,1.20747,1.20833,1.20788,1.21091,1.20759,27763
2020-12-02 16:00:00,1.20777,1.20922,1.20952,1.20749,1.20788,1.20934,1.20963,1.20761,14238
2020-12-02 17:00:00,1.20922,1.20929,1.20986,1.20873,1.20934,1.2094,1.20997,1.20885,9516
2020-12-02 18:00:00,1.20929,1.20925,1.20977,1.20916,1.2094,1.20938,1.20988,1.20928,4981
2020-12-02 19:00:00,1.20925,1.20991,1.21023,1.20894,1.20938,1.21004,1.21034,1.20906,8285
2020-12-02 20:00:00,1.20991,1.21011,1.21039,1.20953,1.21004,1.21022,1.2105,1.20964,4210
2020-12-02 21:00:00,1.21011,1.21128,1.21179,1.21011,1.21022,1.21178,1.21192,1.21023,4844
2020-12-02 22:00:00,1.21128,1.21117,1.21155,1.21098,1.21178,1.21138,1.21198,1.21127,2041
2020-12-02 23:00:00,1.21117,1.21134,1.21148,1.21082,1.21138,1.21146,1.21162,1.21095,2621
2020-12-03 00:00:00,1.21134,1.21051,1.21139,1.21035,1.21146,1.21064,1.21151,1.21048,4634
2020-12-03 01:00:00,1.21051,1.21124,1.21145,1.21037,1.21064,1.21137,1.21155,1.21049,5566
2020-12-03 02:00:00,1.21124,1.21195,1.21206,1.21113,1.21137,1.21207,1.21215,1.21125,4680
2020-12-03 03:00:00,1.21195,1.21233,1.21247,1.21183,1.21207,1.21245,1.21259,1.21195,4364
2020-12-03 04:00:00,1.21233,1.21168,1.21239,1.21156,1.21245,1.2118,1.21251,1.21167,3518
2020-12-03 05:00:00,1.21168,1.21189,1.2122,1.2116,1.2118,1.212,1.21232,1.21173,3814
2020-12-03 06:00:00,1.21189,1.21173,1.21209,1.21128,1.212,1.21185,1.21221,1.2114,5091
2020-12-03 07:00:00,1.21173,1.21221,1.21251,1.21152,1.21185,1.21235,1.21264,1.21164,12443
2020-12-03 08:00:00,1.21221,1.2121,1.21388,1.21139,1.21235,1.21222,1.214,1.21152,19719
2020-12-03 09:00:00,1.2121,1.2111,1.21212,1.21005,1.21222,1.2112,1.21224,1.21016,14723
2020-12-03 10:00:00,1.2111,1.2115,1.21183,1.21035,1.2112,1.21162,1.21194,1.21046,13369
2020-12-03 11:00:00,1.2115,1.21284,1.21293,1.21107,1.21162,1.21297,1.21304,1.21119,13691
2020-12-03 12:00:00,1.21284,1.21549,1.21608,1.21181,1.21297,1.21561,1.2162,1.21192,17703
2020-12-03 13:00:00,1.21549,1.21505,1.2156,1.2144,1.21561,1.21517,1.21573,1.21451,17741
2020-12-03 14:00:00,1.21505,1.21592,1.21679,1.2144,1.21517,1.21609,1.21691,1.21451,23165
2020-12-03 15:00:00,1.21592,1.21607,1.2174,1.21563,1.21609,1.21619,1.21752,1.21576,20089
2020-12-03 16:00:00,1.21607,1.21506,1.21627,1.21456,1.21619,1.21519,1.2164,1.21469,15247
2020-12-03 17:00:00,1.21506,1.21457,1.21512,1.21372,1.21519,1.21468,1.21524,1.21384,10795
2020-12-03 18:00:00,1.21457,1.21389,1.2147,1.21322,1.21468,1.214,1.21484,1.21333,7758
2020-12-03 19:00:00,1.21389,1.2142,1.21433,1.21374,1.214,1.21431,1.21447,1.21385,6752
2020-12-03 20:00:00,1.2142,1.21449,1.21479,1.21328,1.21431,1.21463,1.2149,1.21339,7793
2020-12-03 21:00:00,1.21449,1.21387,1.21488,1.21386,1.21463,1.21487,1.21499,1.21432,3307
2020-12-03 22:00:00,1.21387,1.21425,1.21455,1.21373,1.21487,1.21458,1.21499,1.21429,2414
2020-12-03 23:00:00,1.21425,1.21445,1.21493,1.21419,1.21458,1.21458,1.21505,1.21438,2985
2020-12-04 00:00:00,1.21445,1.21491,1.21533,1.21402,1.21458,1.21503,1.21546,1.21415,5056
2020-12-04 01:00:00,1.21491,1.21438,1.21524,1.21408,1.21503,1.21452,1.21536,1.21419,7286
2020-12-04 02:00:00,1.21438,1.21441,1.21447,1.21384,1.21452,1.21454,1.21461,1.21396,4954
2020-12-04 03:00:00,1.21441,1.21448,1.21472,1.21411,1.21454,1.21461,1.21482,1.21422,4120
2020-12-04 04:00:00,1.21448,1.21414,1.21468,1.21407,1.21461,1.21426,1.21479,1.21418,3230
2020-12-04 05:00:00,1.21414,1.21496,1.21507,1.21405,1.21426,1.21506,1.21518,1.21417,4510
2020-12-04 06:00:00,1.21496,1.21548,1.21571,1.21473,1.21506,1.21562,1.21584,1.21483,6157
2020-12-04 07:00:00,1.21548,1.21527,1.21601,1.21507,1.21562,1.2154,1.21612,1.21519,10835
2020-12-04 08:00:00,1.21527,1.216,1.21657,1.21432,1.2154,1.21612,1.21669,1.21443,15447
2020-12-04 09:00:00,1.216,1.21662,1.21726,1.21589,1.21612,1.21675,1.21739,1.21601,16104
2020-12-04 10:00:00,1.21662,1.21746,1.2177,1.21561,1.21675,1.21757,1.2178,1.21572,15873
2020-12-04 11:00:00,1.21746,1.21679,1.21753,1.21616,1.21757,1.21691,1.21764,1.21627,14375
2020-12-04 12:00:00,1.21679,1.21579,1.21741,1.21562,1.21691,1.21592,1.21752,1.21574,13920
2020-12-04 13:00:00,1.21579,1.21453,1.21699,1.2131,1.21592,1.21463,1.2171,1.21323,30681
2020-12-04 14:00:00,1.21453,1.2156,1.21712,1.21434,1.21463,1.21569,1.21726,1.21446,25035
2020-12-04 15:00:00,1.2156,1.21394,1.21659,1.21347,1.21569,1.21407,1.2167,1.2136,24051
2020-12-04 16:00:00,1.21394,1.21406,1.21456,1.21325,1.21407,1.21417,1.21468,1.21338,12024
2020-12-04 17:00:00,1.21406,1.21432,1.21498,1.21389,1.21417,1.21441,1.21511,1.21402,7017
2020-12-04 18:00:00,1.21432,1.21412,1.21512,1.21406,1.21441,1.21425,1.21523,1.21416,5401
2020-12-04 19:00:00,1.21412,1.21367,1.21452,1.2133,1.21425,1.21379,1.21465,1.21343,7962
2020-12-04 20:00:00,1.21367,1.21267,1.21398,1.21118,1.21379,1.2128,1.2141,1.21132,8557
2020-12-04 21:00:00,1.21267,1.21206,1.21294,1.21098,1.2128,1.21242,1.21305,1.21108,5435
2020-12-06 19:00:00,1.21206,1.2115,1.21197,1.21113,1.21242,1.21175,1.21266,1.21165,54
2020-12-06 20:00:00,1.2115,1.21187,1.2128,1.21123,1.21175,1.21215,1.21367,1.21175,212
2020-12-06 21:00:00,1.21187,1.21294,1.21304,1.21134,1.21215,1.21356,1.21356,1.21211,288
2020-12-06 22:00:00,1.21294,1.21273,1.21296,1.21176,1.21356,1.21286,1.21346,1.21213,1543
2020-12-06 23:00:00,1.21273,1.21195,1.21322,1.21191,1.21286,1.21207,1.21344,1.21203,4054
2020-12-07 00:00:00,1.21195,1.21272,1.21305,1.21182,1.21207,1.21285,1.21315,1.21195,6439
2020-12-07 01:00:00,1.21272,1.21332,1.21356,1.21242,1.21285,1.21344,1.21367,1.21255,6856
2020-12-07 02:00:00,1.21332,1.2136,1.21396,1.21321,1.21344,1.21371,1.21409,1.21332,5530
2020-12-07 03:00:00,1.2136,1.21339,1.21382,1.21334,1.21371,1.21351,1.21393,1.21346,3542
2020-12-07 04:00:00,1.21339,1.21319,1.2134,1.21319,1.21351,1.21332,1.21352,1.21331,2465
2020-12-07 05:00:00,1.21319,1.21312,1.21335,1.21299,1.21332,1.21323,1.21347,1.21311,2745
2020-12-07 06:00:00,1.21312,1.21286,1.21323,1.21244,1.21323,1.21296,1.21335,1.21256,5459
2020-12-07 07:00:00,1.21286,1.21205,1.21288,1.21136,1.21296,1.21217,1.21301,1.21149,10544
2020-12-07 08:00:00,1.21205,1.20965,1.21219,1.20899,1.21217,1.20976,1.21232,1.20912,26203
2020-12-07 09:00:00,1.20965,1.20925,1.20972,1.20779,1.20976,1.20935,1.20984,1.20791,18288
2020-12-07 10:00:00,1.20925,1.21079,1.21125,1.20845,1.20935,1.21092,1.21137,1.20857,14408
2020-12-07 11:00:00,1.21079,1.21123,1.21137,1.21027,1.21092,1.21135,1.21147,1.21039,14421
2020-12-07 12:00:00,1.21123,1.21177,1.21189,1.21049,1.21135,1.2119,1.21201,1.21059,12633
2020-12-07 13:00:00,1.21177,1.21366,1.21387,1.21134,1.2119,1.21378,1.21401,1.21146,18219
2020-12-07 14:00:00,1.21366,1.21502,1.21658,1.21314,1.21378,1.21512,1.21668,1.21327,19467
2020-12-07 15:00:00,1.21502,1.2132,1.21522,1.21318,1.21512,1.2133,1.21532,1.21326,18078
2020-12-07 16:00:00,1.2132,1.21379,1.21412,1.21292,1.2133,1.2139,1.21424,1.21302,12024
2020-12-07 17:00:00,1.21379,1.21326,1.21413,1.21294,1.2139,1.21338,1.21424,1.21305,8720
2020-12-07 18:00:00,1.21326,1.21243,1.21326,1.21172,1.21338,1.21253,1.21338,1.21183,15052
2020-12-07 19:00:00,1.21243,1.21188,1.21292,1.21183,1.21253,1.21201,1.21303,1.21195,9025
2020-12-07 20:00:00,1.21188,1.21078,1.21201,1.21078,1.21201,1.2109,1.21214,1.21089,6998
2020-12-07 21:00:00,1.21078,1.21054,1.21137,1.21054,1.2109,1.21127,1.21148,1.21083,2668
2020-12-07 22:00:00,1.21054,1.21093,1.21108,1.21049,1.21127,1.2111,1.21133,1.21096,1854
2020-12-07 23:00:00,1.21093,1.21089,1.21128,1.21088,1.2111,1.21101,1.21141,1.21101,2043
2020-12-08 00:00:00,1.21089,1.21071,1.21095,1.21036,1.21101,1.21082,1.21108,1.21049,4630
2020-12-08 01:00:00,1.21071,1.21061,1.21107,1.21057,1.21082,1.21073,1.21119,1.21069,6533
2020-12-08 02:00:00,1.21061,1.2111,1.21126,1.21046,1.21073,1.21123,1.21139,1.21058,4216
2020-12-08 03:00:00,1.2111,1.21137,1.21148,1.21099,1.21123,1.21148,1.21159,1.21111,3706
